,labels
1,dao
4,dex
5,payments
6,asset-management
8,investment
9,loans
10,trading
12,liquidity
13,human-resource
15,collectibles
16,gaming
18,3d-printing
19,social-media
21,across-protocol
22,cross-chain
24,adult
25,entertainment
26,yield-farming
27,video
29,vr
30,website-down
31,advertising
33,identity
34,privacy
35,loyalty-and-rewards
36,marketing
37,artificial-intelligence
38,social-networking
40,e-commerce
41,data
42,deflationary-token
43,staking
44,metaverse
45,ar
46,agriculture
47,marketplace
48,airdrop-distributor
52,insurance
54,algorithmic-stablecoin
56,rebase-token
57,analytics
58,healthcare
59,research
61,cloud
62,computing
63,app-development
64,legal
66,apparel
70,art
72,charity
73,collaboration
74,events
75,fashion
76,asset-token
77,fund
79,decentralized-web
80,oracle
81,layer-2
82,jobs
83,pharmaceutical
85,wallet-app
86,iot
87,dating
88,launchpad
90,fitness
95,derivatives
98,currency
99,auction
102,authentication
103,supply-chain
107,play-to-earn
112,fiat-gateway
113,tokenized-equity
120,stablecoin
121,bitcoin-pegged
122,dot-pegged
123,wrapped-bitcoin
124,huobi
129,mining
131,gold
134,storage
136,governance
137,blockchain-phone
140,bridged-token
145,compliance
146,tools
147,security
148,environment
149,index
151,bounty
152,microtasking
154,bridge
162,crowdfunding
164,donate
189,commodity
190,communication
194,mev-protection
203,travel
206,venture-capital
207,esports
208,sports
210,freelance
211,dappnode
212,surveillance
213,energy-sector
215,otc
231,tokenized-asset
233,gambling
234,escrow
238,ticketing
240,factory-contract
243,security-token
246,logistics
247,shipping
258,streaming
259,gas
260,oil
267,precious-metals
270,options-trading
272,hospitality
273,rent
275,hotel
277,incubator
281,invoice-financing
298,subscription-membership
300,manufacturing
313,news
315,nonprofit
325,portfolio-tracker
326,prediction
335,reputation
338,restaurant
341,ridesharing
342,transportation
347,telecommunications
351,wi-fi
360,survey
369,vaults
370,wrapped-token